epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,139133,0.80822,0.43873,1.51031,0.95708,0.98421,0.99286,0.96366,0.45241,0.28125,1.21813,0.000202097,0.000202097,0.000202097
60,142158,0.80504,0.44733,1.53092,0.95903,0.99474,0.99101,0.96211,0.45291,0.26623,1.30833,0.000200552,0.000200552,0.000200552
61,145180,0.79439,0.44107,1.50075,0.96863,0.97498,0.9931,0.96105,0.5001,0.27071,1.20589,0.000198988,0.000198988,0.000198988
62,148208,0.7659,0.42676,1.46631,0.97127,0.98947,0.9937,0.96756,0.45239,0.25204,1.2434,0.000197407,0.000197407,0.000197407
63,151232,0.77246,0.42755,1.47426,0.96878,0.97991,0.99026,0.96369,0.47281,0.27436,1.22642,0.000195808,0.000195808,0.000195808
64,154254,0.77945,0.43249,1.5041,0.95437,0.98947,0.99042,0.96679,0.44095,0.26524,1.21635,0.000194192,0.000194192,0.000194192
65,157279,0.76401,0.43409,1.4825,0.95912,0.9879,0.99035,0.96103,0.45629,0.26796,1.24021,0.000192559,0.000192559,0.000192559
66,160298,0.77992,0.43371,1.49596,0.95881,0.98,0.99204,0.97189,0.42819,0.26005,1.19437,0.000190909,0.000190909,0.000190909
67,163314,0.76502,0.42557,1.48721,0.95623,0.98947,0.99173,0.96736,0.47831,0.26945,1.21185,0.000189244,0.000189244,0.000189244
68,166333,0.74739,0.41896,1.47934,0.95922,0.99045,0.99321,0.9624,0.46342,0.26937,1.2289,0.000187563,0.000187563,0.000187563
69,169348,0.78591,0.44015,1.51229,0.9742,0.99366,0.99405,0.96063,0.46628,0.2604,1.28165,0.000185867,0.000185867,0.000185867
70,172359,0.77917,0.43154,1.50236,0.97926,0.97368,0.99348,0.96644,0.45096,0.24949,1.46216,0.000184156,0.000184156,0.000184156
71,175377,0.81367,0.45341,1.52855,0.96907,0.99474,0.99229,0.96016,0.46427,0.26061,1.24054,0.000182431,0.000182431,0.000182431
72,178394,0.79782,0.44379,1.5243,0.96904,0.98834,0.99308,0.96172,0.46282,0.26722,1.19329,0.000180692,0.000180692,0.000180692
73,181409,0.81001,0.44715,1.5199,0.97419,0.99317,0.99394,0.96243,0.46287,0.26499,1.21198,0.00017894,0.00017894,0.00017894
74,184422,0.82434,0.45882,1.55367,0.97778,0.98947,0.99345,0.96977,0.44203,0.25466,1.18425,0.000177175,0.000177175,0.000177175
75,187440,0.78731,0.44195,1.51752,0.97391,0.98226,0.99376,0.96434,0.47986,0.25961,1.21418,0.000175397,0.000175397,0.000175397
76,190458,0.824,0.44575,1.53325,0.97675,0.97895,0.99386,0.96588,0.44932,0.25125,1.21601,0.000173607,0.000173607,0.000173607
77,193488,0.79753,0.44907,1.54453,0.97087,0.98947,0.99301,0.97243,0.42483,0.25465,1.18352,0.000171805,0.000171805,0.000171805
78,196507,0.78537,0.44369,1.51369,0.96398,0.98607,0.99272,0.97438,0.43737,0.25737,1.17956,0.000169993,0.000169993,0.000169993
79,199522,0.80575,0.45386,1.54738,0.97406,0.98826,0.99375,0.97418,0.42116,0.24155,1.18372,0.000168169,0.000168169,0.000168169
80,202534,0.79598,0.44465,1.54549,0.96423,0.99328,0.99391,0.96282,0.46978,0.27535,1.21919,0.000166335,0.000166335,0.000166335
81,205551,0.79097,0.43976,1.52924,0.97206,0.98421,0.9933,0.95573,0.48816,0.27241,1.23548,0.000164491,0.000164491,0.000164491
82,208569,0.8086,0.44772,1.54541,0.96801,0.98947,0.99364,0.97296,0.41032,0.24255,1.20538,0.000162637,0.000162637,0.000162637
